#              u               K              ΔK               V              ΔV           V_ext          ΔV_ext           V_int          ΔV_int               E              ΔE            E_mu           ΔE_mu             K/N            ΔK/N             V/N            ΔV/N             E/N            ΔE/N               N              ΔN             N^2            ΔN^2         density        Δdensity
 -1.20000000E+01  3.21233724E+02  1.71919040E+00 -6.67652681E+02  2.01094776E+00 -5.38241278E+02  1.13511936E+00 -1.24974732E+02  8.83236625E-01 -3.46418958E+02  8.62008851E-01 -1.32227226E+02  6.75023196E-01  1.79868253E+01  5.26414134E-02 -3.74546299E+01  2.24567067E-02 -1.94678046E+01  4.75226902E-02  1.78493110E+01  5.20086912E-02  3.20842159E+02  1.86062186E+00  2.23116387E-03  6.50108640E-06
 -1.50000000E+01  2.52383284E+02  1.27987226E+00 -5.54122760E+02  1.85725161E+00 -4.72374361E+02  1.20239865E+00 -7.78676472E+01  6.65499365E-01 -3.01739476E+02  9.23717050E-01 -8.58014709E+01  5.87655792E-01  1.75204367E+01  4.58903065E-02 -3.85502686E+01  2.17872265E-02 -2.10298318E+01  4.65205235E-02  1.43958670E+01  4.96180223E-02  2.09978313E+02  1.42797898E+00  1.79948337E-03  6.20225279E-06
 -1.90000000E+01  1.18094709E+02  9.04454602E-01 -2.81808053E+02  1.76976964E+00 -2.66880311E+02  1.53103741E+00 -1.27315239E+01  2.49961792E-01 -1.63713344E+02  9.51297809E-01 -4.42665185E+01  2.87549988E-01  1.92866755E+01  6.12262162E-02 -4.64810250E+01  1.53817471E-01 -2.71943495E+01  1.15168151E-01  6.28667500E+00  5.36719982E-02  4.35950030E+01  7.00937130E-01  7.85834375E-04  6.70899977E-06
 -2.20000000E+01  6.77769413E+01  2.47176524E-01 -1.72696850E+02  4.55215982E-01 -1.69781861E+02  4.26682291E-01 -1.45861719E+00  2.86018421E-02 -1.04919908E+02  2.87124674E-01 -4.21770744E+01  1.44196219E-01  2.47328523E+01  6.94928546E-02 -6.34671415E+01  1.30865759E-01 -3.87342892E+01  9.70082153E-02  2.85194700E+00  1.41998042E-02  9.03946500E+00  9.95301385E-02  3.56493375E-04  1.77497553E-06
 -2.50000000E+01  5.85165450E+01  1.24248127E-01 -1.52055434E+02  1.45145516E-01 -1.50401652E+02  1.40033966E-01 -3.45328776E-01  5.83796865E-03 -9.35388888E+01  1.27991067E-01 -3.89816388E+01  1.12648162E-01  2.71746836E+01  5.30061810E-02 -7.07625616E+01  5.69989832E-02 -4.35878779E+01  5.97967277E-02  2.18229000E+00  4.01409338E-03  4.94518000E+00  2.15709223E-02  2.72786250E-04  5.01761672E-07
 -2.90000000E+01  5.63164141E+01  1.19404906E-01 -1.47019507E+02  1.00430053E-01 -1.45633266E+02  1.00928079E-01 -1.36132197E-01  1.26818838E-03 -9.07030924E+01  1.12035883E-01 -3.20263774E+01  1.04893639E-01  2.78856584E+01  5.71780872E-02 -7.28327407E+01  3.46873317E-02 -4.49470823E+01  5.14757471E-02  2.02333500E+00  1.33734445E-03  4.12049500E+00  5.67515327E-03  2.52916875E-04  1.67168056E-07
 -3.20000000E+01  5.59296280E+01  1.30432444E-01 -1.46236632E+02  1.25582234E-01 -1.44865022E+02  1.23989186E-01 -1.11035692E-01  4.94304076E-04 -9.03070044E+01  1.20360092E-01 -2.63045404E+01  1.08452679E-01  2.79735626E+01  6.30833278E-02 -7.31517697E+01  3.60040826E-02 -4.51782071E+01  5.38176363E-02  2.00007700E+00  1.45530484E-03  4.01117500E+00  4.59132578E-03  2.50009625E-04  1.81913105E-07
 -3.60000000E+01  5.53045804E+01  1.66231485E-01 -1.44566613E+02  3.38358590E-01 -1.43214959E+02  3.33875079E-01 -1.03290011E-01  4.53638174E-04 -8.92620327E+01  2.14396824E-01 -1.81614567E+01  9.59278893E-02             NAN             NAN             NAN             NAN             NAN             NAN  1.97501600E+00  4.48503275E-03  3.92768200E+00  1.26509597E-02  2.46877000E-04  5.60629093E-07
 -3.90000000E+01  5.29279655E+01  3.77072045E-01 -1.37960816E+02  9.05209573E-01 -1.36683548E+02  8.99855621E-01 -9.39215382E-02  1.19384756E-03 -8.50328509E+01  5.47887850E-01 -1.15492459E+01  1.22422773E-01             NAN             NAN             NAN             NAN             NAN             NAN  1.88419500E+00  1.22206315E-02  3.66220500E+00  3.55178741E-02  2.35524375E-04  1.52757894E-06
 -4.20000000E+01  4.34115758E+01  7.03594483E-01 -1.13329384E+02  1.80212198E+00 -1.12293957E+02  1.78416136E+00 -6.44984424E-02  1.94625386E-03 -6.99178084E+01  1.10348839E+00 -4.90159843E+00  9.87581278E-02             NAN             NAN             NAN             NAN             NAN             NAN  1.54800500E+00  2.44487055E-02  2.74771500E+00  6.17847012E-02  1.93500625E-04  3.05608818E-06
